Job Title,Company,Post Status,Job URL,Job Details
Technical Project Manager,-, - 30+ days ago,https://pk.indeed.com/viewjob?jk=2f97a0901f9d6756&from=serp&vjs=3,"Job Description,
We are looking for a dynamic, energetic, technical and motivated leader to manage a team that is developing products using Machine Learning, Artificial Intelligence and Big Data technologies. The ideal candidate is a strong leader who loves to build complex products with a team consisting of high performing, talented team. As a leader, you will be working with other team members to help plan and execute product development. If you are passionate about driving teams to exceptional performance, growth and challenge, this is the job for you. To be successful in this role, you must be self motivated, driven and looking to move the frontiers of technology. You must be willing and able to help the team in whatever way necessary including hands on development.
,Skills Required
,Management Skills, • 3+ years managing a team • Experience running teams with Agile/Scrum and Kanban methodologies • Experience with product planning and execution • Experience working with Product Management, QA, developers, and customer support • Experience solving customer issues and dealing with escalations • Proven experience hiring talented individuals • Independent thinking and desire to learn new techniques/technologies • Strong interpersonal skills • Excellent communication skills ,Technical Skills, • Expertise in Java/C#, Python or similar language • Solid understanding of Object Oriented Programming • Solid understanding of Web based Programming techniques • Experience working with Big data, Cloud, AI or Machine Learning technologies is a plus • Degree in Computer Science, Computer Engineering or equivalent experience • 3+ years experience in Software Development, 8-10 years overall work experience"
Staff Engineer,-, - 30+ days ago,https://pk.indeed.com/viewjob?jk=770c03786e223d15&from=serp&vjs=3,"We have a new opportunity for an experienced engineer to take part in developing new products in wireless communications and embedded software. You will use a range of tools to help design and prototype concepts. As part of an R&D team at the Lahore office, you will have the opportunity to work with colleagues across the world and external partners. This role will give you the freedom to explore a variety of technologies and widen your engineering skills in a motivated and supportive environment.,
,
,Responsibilities:,
,Take initiative in the development of software technology and solutions.,
Participate in the complete development process which includes design, implementation, verification. of tools, drivers, client/server communication software and web services.
,Implementation of communication protocols to facilitate product concepts.,
Development of embedded device drivers, software components and their integration.,
Provide input to architecture and design and lead the implementation where required.,
Provide task breakdowns and accurate estimates for project planning.,
Analyze feedback or nonconformities, provide workarounds or develop bug fixes.,
Technical Documentation.,
,
,Required Qualifications & Experience:,
,Bachelors or Masters Degree in Computer Science, Electronics.,
5 to 8 years experience in software programming (embedded, web and object-oriented).,
Skilled in C or C++ in Embedded or Linux based real-time systems.,
Experience of developing agile software and implementation of Relational databases is desirable.,
Knowledge of scripting language e.g. Python.,
Ideally knowledge of: microprocessors, compilers, RTOS environments, Linux kernel, ARM architectures, Embedded Security.,
Understanding of debug techniques and tools.,
Experience of protocols and network stacks e.g. TCP/IP, IMS, SIP, HTTP, IPv6 etc.,
Some understanding of communications technologies. 2G/3G/LTE, Wifi, Bluetooth.,
Familiar of the software development lifecycle and version control.,
Some experience of Hardware engineering would be useful.,
Highly flexible and ready to accept and quickly implement new ideas.,
Willing take new initiatives to take responsibility for work that is outside your core domain.,
Good analytical and problem-solving skills.,
Good verbal and written English communication skills.,
,
,
Applications Close Date,
,
Contact, Are you interested in this challenging position within an international work environment in a successful company? Apply now! You will be working with a motivated team in an exciting technology.
,
,
We are looking forward to receiving your application."
Pyhton Developer,-, - 30+ days ago,https://pk.indeed.com/viewjob?cmp=Ashtex-Solutions&t=Pyhton+Developer&jk=1d7884eaeda15ac4&vjs=3,"ROLE AND RESPONSIBILITIES,The person will be responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end.,1. Write effective, scalable code,2.Develop back-end components to improve responsiveness and overall performance,3. Integrate user-facing elements into applications,4. Test and debug programs,5. Improve functionality of existing systems,6. Implement security and data protection solutions,7. Assess and prioritize feature requests,8. Coordinate with internal teams to understand user requirements and provide technical solutions,QUALIFICATIONS AND EDUCATION REQUIREMENTS: ,1. BSc in Computer Science, Engineering or relevant field,2. 1 - 2 years of relevant Work experience as a Python Developer,3. Expertise in at least one popular Python framework (like Django, Flask or Pyramid),4. Knowledge of object-relational mapping (ORM),5. Familiarity with front-end technologies (like JavaScript and HTML5),6. Team spirit,7. Good problem-solving skills,Job Type: Full-time,Salary: Rs35,000.00 - Rs60,000.00 per month,Education:,Location:,Work Remotely:,Bachelor's (Required),Lahore (Required),Temporarily due to COVID-19"
Deep Neural Network Architect,-, - 30+ days ago,https://pk.indeed.com/viewjob?jk=185f6c9857d193cc&from=serp&vjs=3,"
,Solid understanding of probability and statistics. • Must have strong technical and programming skills. • Ability to build prototypes quickly Share resumes with subject “DNN Architect”,
"
Software Engineer - Python / PHP,"OneClout,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=12ca1c8ad98c6c37&from=serp&vjs=3,
Sr.Software Engineer / Python Developer,"Crewlogix Technologies,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=97ffbc305cf0803c&from=serp&vjs=3,"Knowledge of at least one Python Framework such as Django, Flask.,
Experienced in developing RESTful APIs.,
Working knowledge of Relational Databases like PostgreSQL, MySQL.,
Basic understanding of front-end technologies, such as HTML5, CSS3,
Experience in JavaScript, JQuery.,
Proficient understanding of code versioning tools such as GIT.,
,
,
Apply Now at Mustakbil.com,
,
This job was originally posted on Mustakbil.com"
Software Engineer,"Caramel Tech Studios,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=f294e075fcde477d&from=serp&vjs=3,"We are seeking a stellar Server API Developer to work on our Mobile development team, working with the latest and cutting edge server technologies. Development tasks will include providing backend server support APIs to front-end applications. Responsibilities will include platform development, database development, scalability, testing, and optimization. Candidate should be eager to learn new technologies and write custom solutions.
,Required Skills,
,A solid foundation in computer science with strong competencies in data structure, algorithms and software design.,
,Experience in developing server side applications in common scripting languages (e.g. PHP, Node.js, Python, Ruby).,
,Bachelors/Masters in Computer Science from a reputable institution.,
,Excellent coding standards / Passionate about programming.,
,Strong work ethic / Team player / Great communication skills.,
,Preference will be given to candidates who have:,
,Experience in Node.js / Python / Django framework.,
,Knowledge of standard databases (MySQL and PostgreSQL).,
,Familiarity with the pros and cons of NoSQL databases.,
,Understanding of RESTful API design / Backend API services development experience.,
,Contributions in the Open Source community / Experience with Open Source technologies.,
,Game development experience.,
,Salary Package,
We offer highly competitive and lucrative packages that could vary depending on the educational background, work experience, as well as the candidate’s performance in the interview."
API Development Support Officer IAIM.CA – Lahore,"IAIM.CA,-", - 30+ days ago,https://pk.indeed.com/viewjob?cmp=IAIM.CA&t=API+Development+Support+Officer&jk=b49d6d857b0f47b9&vjs=3,"API Development Support Officer – Lahore,We are seeking Fresh Graduates - ( Beginner to Intermediate ) to fulfill the role of API Development Support who can provide 24/7 support of API Management solutions. The ideal candidate should be able to demonstrate a history of working with both technical and non-technical stakeholders to define or understand requirements, deliver projects and ultimately support technical solutions.,Requirements, :,Job Type: Full-time,Salary: Rs50,000.00 - Rs75,000.00 per month,Experience:,Location:,Language:,Have a degree in Computer Science, Computer/Software engineering or related discipline or an equivalent combination of education and experience.,Knowledge of Web APIs, REST, XML, JSON, SOA/Web services, Internet/network security standards (WS Security, OAUTH, OpenID Connect, JWT, etc.),Proficient with Linux OS,Experience with: MySQL , JAVA, Networks (Switches, Routers, LoadBalancers),Understanding of: OAuth, OpenID, Apache Web Server, Programming with XML, Java,Have worked in Virtual Environments (VMWare Server, AWS and Amazon AMI,Database Design experience do you have?: 1 year (Required),Java or C or C++ or C Sharp or Python etc. experience do you: 1 year (Required),Microsoft Office Suit experience do you have: 1 year (Required),Internship or Some Development experience do you have: 1 year (Required),Networking Concepts experience do you have: 1 year (Required),Security Concepts experience do you have: 1 year (Required),SQL experience do you have: 1 year (Required),Lahore (Required),native English Language (Required)"
iOS Developer,"Broadstone technologies,-", - 1 day ago,https://pk.indeed.com/viewjob?cmp=Broadstone-technologies&t=Ios+Developer&jk=3a82279b1448853f&vjs=3,"We are looking for an energetic ,iOS developer,, who is willing to learn and grow. The ideal candidate must have strong problem-solving skills and creative instincts to develop and maintain iOS applications. The candidate will be given a platform to work on market-leading, innovative and challenging mobile apps.,Must have published at least one application on Apple App Store: ,Role Requirements : ,Other Skills Required: ,Job Type: Full-time,Experience:,Participate in internal development projects such as developing new products and enhancing/maintaining the existing products. Contribute to the development of life-cycle, design, implementation, and test.,Experience with Swift, Objective-C, and Cocoa Touch.,Experience with iOS frameworks such as Core Data, Core Animation, etc.,Experience with core data, offline storage, threading, and performance tuning,Development Knowledge of JSON, REST, and XML based web services and their working.,Hands-on experience of creating custom UI controls, designing protocols, implementing interfaces, and performance optimization,Understanding of Apple design principles and interface guidelines.,Familiarity with cloud message APIs and push notifications,Translation of designer mock-ups and wireframes into front-end code,Understanding and maintenance of our existing code/apps,Nice to have: Apple ARKit experience,1 year plus experience developing iOS Apps along with experience in front end design of the app as well as knowledge of server-based work,Ability to work with new technologies while showing drive, versatility, adaptability, and creative thinking,Programming experience in Java, Javascript, Python, or C++ will be a plus,PHP web development knowledge is an advantage,Understanding of prior developed projects and enhancing features,Self-driven and do work on your own by taking ownership.,Strong problem-solving skills.,Comfortable in working with the team as well as independently.,Learning attitude, communication, and passion to code,iOS: 1 year (Preferred)"
Python Developer (Senior),"HAZREE,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=c70c36eb16938d63&from=serp&vjs=3,
Senior Python Developer,-, - 30+ days ago,https://pk.indeed.com/viewjob?jk=c3d2621627b5bcdb&from=serp&vjs=3,"Python Full Stack Developer,
Description"
PHP/PYTHON Developer,"OneClout,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=18a35eda926917f3&from=serp&vjs=3,Technically we are looking for someone with the following skill set.
Data Scientist,-, - 30+ days ago,https://pk.indeed.com/viewjob?jk=38f7d05e60df164a&from=serp&vjs=3,"Job Description,
We are looking for a candidate who is passionate about data science and machine learning, has more than 3 years of relevant experience. Experience in game development will be a plus. Candidate must be able to train and deploy machine learning models. ,Requirements,
,Bachelor’s or Master’s degree in Computer Science.,
,3 year of experience in: Data Science/ Machine Learning.,
,Implementing Machine Learning models and algorithms,
,Hands-on experience building production models with Python, TensorFlow, PyTorch, or scikit-learn.,
,Experience with Unity Engine, 3D simulators, game development, or graphics.,
,Excellent communication and collaboration skills,
,Skills Required
,Python, ML, NLP"
Sr. GIS Specialist / Data Analyst,"Grafix360,-", - 3 days ago,https://pk.indeed.com/viewjob?jk=4b93ce752c8c28e0&from=serp&vjs=3,"
The GIS specialists will be responsible to build and maintain GIS databases and use ArcGIS software suite and other technologies to analyze spatial and non-spatial information and create maps for internal purposes. As a part of our IT/GIS team, this position will also be responsible for launching and supporting online map and geoprocessing services for consumption of users and custom applications APIs.,
Responsibility:,
Essential Skills:,
Desired Skills:,
Education:,
Job Location:,
Salary,:,
How to Apply:,
Send your resume in PDF or WORD format"
Mechatronics Engineering,"The Social Lounge,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=6ccf70c5f6b74105&from=serp&vjs=3,"Do you have an interest in designing robotics, AI systems for kids ?,
Do you have a passion for raising awareness of designing intelligent systems and promote creativity?,
,
About Us,
,TSL, specialises in development, repairing, installation and customisations of motherboards, micro-controller boards and circuits. We are very friendly, highly enthusiast’s team of qualified software and hardware engineers with industry experience in respective fields.
,
We are currently in need of a ,Mechatronics Engineer, interested in learning and preparing projects in Early Education,
The position is full-time work position. Internship Candidates are also welcome to apply.,
Job Description,
The work will include:,
Technical Skills/Knowledge Preferred,
To be considered for this role, please forward your Cover Letter and Resume to the below email address.,
gaminggalaxyjohartown@gmail.com,
,
Interview Question,
You must visit our website page (below) and understand the work. Once you understand it then only send us your Resume and the project work you have done (if any).,
http://www.sociallounge.com.pk/robotics-ai-raspberry-pi-lab-design-setup/,
,
Please upload your Resume via our Career Opportunities Portal from the Website below,
http://www.sociallounge.com.pk/career-opportunities/,
DO NOT call or Whatsapp the company's number. Your application will be rejected automatically.,
,
,Area: College Road (Aslam Chownk) Township,
Thank you"
Senior Web Developer,"Kics UET Lahore,-", - 4 days ago,https://pk.indeed.com/viewjob?cmp=Kics-UET-Lahore&t=Senior+Web+Developer&jk=38d4fefee3d82791&vjs=3,"We are looking for an outstanding ,Urgently Required Web Developer ,to be responsible for the coding, innovative design, and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function. Candidates should have at least 6 to 1 years of relevant experience.,Responsibilities,Skills,Job Types: Full-time, Contract,Salary: Rs32,000.00 - Rs45,000.00 per month,Experience:,Work Remotely:,Write well designed, testable, efficient code by using best software development practices,Proficiency in core front end languages such as ,HTML5, CSS3, Bootstrap, and JavaScript,Integrate data from various back-end services and databases,Familiarity with JavaScript frameworks such as ,Angular/React,Proficiency in server-side languages such as Python/Django,Familiarity with database technology such as ,MySQL, Postgrad SQL, Mongo DB, and others,Gather and refine specifications and requirements based on technical needs,Create and maintain software documentation,Be responsible for maintaining, expanding, and scaling our site,Stay plugged into emerging technologies/industry trends and apply them into operations and activities,Cooperate with web designers to match visual design intent,Proven working experience in web programming,Top-notch programming skills and in-depth knowledge of modern HTML/CSS,Familiarity with at least one of the following programming languages: PHP, ASP.NET, Javascript or Ruby on Rails,A solid understanding of how web applications work including security, session management, and best development practices,Adequate knowledge of relational database systems, Object-Oriented Programming and web application development,Hands-on experience with network diagnostics, network analytics tools,Basic knowledge of Search Engine Optimization process,Aggressive problem diagnosis and creative problem-solving skills,Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen,Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.,BS in computer science or a related field,Web Development: 1 year (Preferred),Yes"
NOC Systems Engineer,"Starzplay Arabia,-", - 30+ days ago,https://pk.indeed.com/viewjob?jk=ed498331c6860956&from=serp&vjs=3,"Who we are,
Are you looking for a challenge that is going to provide you experience in agile/scrum environments? Are you eager to work with frontend and backend cutting edge technologies? Do you want to learn about the latest technologies involved in the OTT video streaming ecosystem? Do you want to work in an international environment? STARZ PLAY offers you all of these challenges and more!,
STARZ PLAY is a subscription video on demand service headquartered in Dubai and available in 19 countries in the MENA region. Our service streams thousands of blockbuster Hollywood movies, TV shows, documentaries, kids’ entertainment and dedicated Arabic content to subscribers in the region. This is what makes us the fastest-growing SVOD service in the region.,
Due to huge success with expansion into new markets, we have opened R&D Center in Lahore, Pakistan. Come join us and help to build great new technology in Lahore!,
Job purpose,
As a NOC Engineer you are responsible for business continuity and to take necessary actions should there be an issue. Serves as a technical expert in the area of system administration for complex operating systems. You will need to use monitoring tools and support systems to ensure that our development process runs efficiently.,
Daily work includes supporting our infrastructure in AWS, developing shell scripts, and working closely with other teams on new technical integrations.,
Responsible for implementation, and the highest level of performance tuning and recovery procedures for mission critical enterprise systems.,
NOC Engineer Requirements,
For all the candidates,
Don’t forget to take a look at http://arabia.starzplay.com/ and check our Android and iOS apps in the Google Play and in the Apple Appstore."
Senior Specialist Engineer,-, - 30+ days ago,https://pk.indeed.com/viewjob?jk=8cdb95095a1b65c3&from=serp&vjs=3,"The person will take part in developing cutting edge wireless communication embedded software. The job provides an opportunity to do highly challenging, interesting work in a global R&D team with excellent compensation & benefits and a good career path,
,
,Tasks:,
,Architecture, design and development of software for real-time embedded systems using C/C++.,
Embedded software porting, performance analysis and optimizations using advanced development tools (IDE compilers, debuggers, target trace).,
Create detailed technical documentation for developed functional blocks or features.,
Implement new features according to a requirement specification and project plan.,
Assist in the definition and verification phase of associated software functionality.,
Analyze feedback or nonconformities, provide workarounds or develop bug fixes.,
Maintain build environment, debug and development tools.,
Maintain coding guidelines and quality standards.,
Mentoring and coaching of junior engineers.,
,Secondary Tasks,
,Reporting to line manager and sub-project manager on activities.,
Assists other team members on the job.,
Guides and trains other team members.,
Improves the development process.,
 ,Responsibility,
,Responsible for sub-projects and tasks assigned to the holder of this job.,
Responsible for technical direction in a particular area of expertise.,
 ,Profile,
,BSc/MSc degree in electrical engineering, computer science/electrical engineering, computer science/electronics,
Demonstrate strong interest in the digital (wireless) communications sector,
Real-time operating systems,
Programming languages and tools: C, C++, Perl, Python,
Ability to work as a member of bigger projects. Flexible team player. Can lead a team of engineers.,
Good analytical and problem solving skills.,
Good English communication skills in speaking and writing,
Typically 5-7 years relevant experience of software development,
Knowledge of 3GPP standards (3G/4G) is highly desirable,
,
,
Applications Close Date,
,
Contact, Are you interested in this challenging position within an international work environment in a successful company? Apply now! You will be working with a motivated team in an exciting technology.
,
,
We are looking forward to receiving your application."
Software Architect,"ENTERTAINER FZ LLC,-", - 2 days ago,https://pk.indeed.com/viewjob?jk=e2dac46059c4f9d3&from=serp&vjs=3,"
The ENTERTAINER is a leading digital company whose main goal is to add value to consumers by bringing them the best incentive offers globally. We are a data-driven, 100% digital, tech company. Providing first-rate offers across renowned dining, leisure, entertainment and hotel brands worldwide, the ENTERTAINER has grown with the aim of creating unbeatable value and loyalty everywhere we go.
,We believe that “experience is everything”, resulting in our passion for creating unforgettable experiences for both our customers, partners and employees.,The Product Team’s mission is to build simple, user-friendly digital experiences that delight the millions who use our products. We work in an agile, fast-paced environment and align closely with teams across the business to identify, build, and support the best possible solution for our users. We’re passionate, curious, a bit intense, and a lot of fun. All at the same time.,
Majorly responsible for the following tasks and activities:,
Powered by JazzHR,
v9K23NlZms"
Machine Learning professional,-, - 30+ days ago,https://pk.indeed.com/viewjob?jk=4f26f8202ead5462&from=serp&vjs=3,
Back End Developer,"CYBEXO INC.,-", - 30+ days ago,https://pk.indeed.com/viewjob?cmp=CYBEXO-INC.&t=Back+End+Developer&jk=45abecc0db72e25c&vjs=3,"Basic Requirement:,Bachelors Degree in Computer Science,3-5 year experience in Back End Development,Skills Required:,Job Types: Full-time, Contract,Education:,The ability to write the correct and easy code;,The ability to design databases and optimize queries;,knowledge of modern programming paradigms;,knowledge of design patterns;,knowledge of popular web-frameworks;,English language for reading technical documentation.,Implementing and managing a database (or databases),Compiling and analyzing data generated by the site,Optimizing site performance (search functionality, page loading, etc.),Troubleshooting performance issues and errors as needed,Collaborating closely with front-end developers and the rest of the team to ensure the back-end is meeting their needs,Keeping up with the latest programming languages, best practices, and industry trends,Looking for new ways to improve site infrastructure,Able to develop APIS for WEB AND MOBILE APPS,Expert in PHP, Python, Ruby, Java, Perl, Node JS,Exceptional knowledge of Database technologies – NoSQL,Mysql and Mongodb,Bachelor's (Preferred)"
Full Stack Developer,"The S.T.A.R.S Corporation,-", - 10 days ago,https://pk.indeed.com/viewjob?cmp=Stars-Corporation&t=Full+Stack+Developer&jk=58cd71db39196564&vjs=3,"We are looking for an experienced Full Stack Developer to join our team!,Full Stack Developers are computer programmers who are proficient in both front and back end,coding. Their primary responsibilities include designing user interactions on websites,,developing servers and databases for website functionality and coding for mobile platforms.,With Indeed you can search millions of jobs online to find the next step in your career.,We are looking for a highly skilled computer programmer who is comfortable with both front,and back end programming. Full Stack Developers are responsible for developing and designing,front end web architecture, ensuring the responsiveness of applications and working alongside,graphic designers for web design features, among other duties.,Full Stack Developers will be required to see out a project from conception to final product,,requiring good organizational skills and attention to detail.,Full Stack Developer Responsibilities:,Full Stack Developer Requirements:,*,Degree in Computer Science.,*,Proficiency with fundamental back end languages such as PHP, Laravel , Cake PHP and HTML,Perks,Job Type: Full-time,Job Type: Full-time,Salary: Rs50,000.00 - Rs180,000.00 per month,Experience:,Education:,Location:,Developing front end website architecture.,Designing user interactions on web pages.,Developing back end website applications.,Creating servers and databases for functionality.,Ensuring cross-platform optimization for mobile phones.,Ensuring responsiveness of applications.,Working alongside graphic designers for web design features.,Seeing through a project from conception to finished product.,Designing and developing APIs.,Meeting both technical and consumer needs.,Staying abreast of developments in web applications and programming languages.,Strong organizational and project management skills.,Proficiency in fundamental front end languages such as HTML, CSS, node.js and JavaScript.,Familiarity with JavaScript frameworks such as Angular JS, React and Amber.,Proficiency in server side languages such as Python, Ruby, Java, PHP and .Net.,Knowledge of Native IOS, react native , Java,Familiarity with database technology such as MySQL, Oracle and MongoDB.,Excellent verbal communication skills.,Good problem solving skills.,Attention to detail.,5 Years of experience.,Paid holidays yearly.,Medical Insurance.,Life Insurance.,Opportunity to engage in local trips.,Monthly dinner.,Monthly/Quarterly prize distribution.,Full stack Developer: 5 years (Preferred),Bachelor's (Preferred),Lahore (Preferred)"
